"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy"
"107",700,0.2,1,5,10.7415975601442,TRUE
"108",700,0.2,1,5,12.0413713968096,FALSE
"109",700,0.2,4,2,10.7415975601442,TRUE
"110",700,0.2,4,2,12.0413713968096,FALSE
"111",700,0.2,4,5,10.7415975601442,TRUE
"112",700,0.2,4,5,12.0413713968096,FALSE
"113",800,0.1,1,2,6.22824720852687,TRUE
"114",800,0.1,1,2,8.04178898566003,FALSE
"115",800,0.1,1,5,6.22824720852687,TRUE
"116",800,0.1,1,5,8.04178898566003,FALSE
"117",800,0.1,4,2,6.22824720852687,TRUE
"118",800,0.1,4,2,8.04178898566003,FALSE
"119",800,0.1,4,5,6.22824720852687,TRUE
"120",800,0.1,4,5,8.04178898566003,FALSE
"121",800,0.2,1,2,7.4540038238976,TRUE
"122",800,0.2,1,2,9.23797701320485,FALSE
"123",800,0.2,1,5,7.4540038238976,TRUE
"124",800,0.2,1,5,9.23797701320485,FALSE
"125",800,0.2,4,2,7.4540038238976,TRUE
"126",800,0.2,4,2,9.23797701320485,FALSE
"127",800,0.2,4,5,7.4540038238976,TRUE
"128",800,0.2,4,5,9.23797701320485,FALSE
"129",900,0.1,1,2,8.54578352763684,TRUE
"130",900,0.1,1,2,28.965957764146,FALSE
"131",900,0.1,1,5,8.54578352763684,TRUE
"132",900,0.1,1,5,28.965957764146,FALSE
"133",900,0.1,4,2,8.54578352763684,TRUE
"134",900,0.1,4,2,28.965957764146,FALSE
"135",900,0.1,4,5,8.54578352763684,TRUE
"136",900,0.1,4,5,28.965957764146,FALSE
"137",900,0.2,1,2,9.84058358710526,TRUE
"138",900,0.2,1,2,11.6585471341995,FALSE
"139",900,0.2,1,5,9.84058358710526,TRUE
"140",900,0.2,1,5,11.6585471341995,FALSE
"141",900,0.2,4,2,9.84058358710526,TRUE
"142",900,0.2,4,2,11.6585471341995,FALSE
"143",900,0.2,4,5,9.84058358710526,TRUE
"144",900,0.2,4,5,11.6585471341995,FALSE
"145",1000,0.1,1,2,7.06868766960089,TRUE
"146",1000,0.1,1,2,8.55593255021371,FALSE
"147",1000,0.1,1,5,7.06868766960089,TRUE
"148",1000,0.1,1,5,8.55593255021371,FALSE
"149",1000,0.1,4,2,7.06868766960089,TRUE
"150",1000,0.1,4,2,8.55593255021371,FALSE
"151",1000,0.1,4,5,7.06868766960089,TRUE
"152",1000,0.1,4,5,8.55593255021371,FALSE
"153",1000,0.2,1,2,8.07042537999899,TRUE
"154",1000,0.2,1,2,10.7087462085025,FALSE
"155",1000,0.2,1,5,8.07042537999899,TRUE
"156",1000,0.2,1,5,10.7087462085025,FALSE
"157",1000,0.2,4,2,8.07042537999899,TRUE
"158",1000,0.2,4,2,10.7087462085025,FALSE
"159",1000,0.2,4,5,8.07042537999899,TRUE
"160",1000,0.2,4,5,10.7087462085025,FALSE
