"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy","model"
"76",100,0.2,0.02,0.5,132.749052695558,FALSE,"Longtree"
"77",100,0.2,0.02,0.7,79.00184510353,TRUE,"Longtree"
"78",100,0.2,0.02,0.7,53.5958084695277,FALSE,"Longtree"
"79",100,0.2,0.04,0.3,273.113274506662,TRUE,"Longtree"
"80",100,0.2,0.04,0.3,132.749052695558,FALSE,"Longtree"
"81",100,0.2,0.04,0.5,79.00184510353,TRUE,"Longtree"
"82",100,0.2,0.04,0.5,53.5958084695277,FALSE,"Longtree"
"83",100,0.2,0.04,0.7,58.3542917603471,TRUE,"Longtree"
"84",100,0.2,0.04,0.7,57.3710925983802,FALSE,"Longtree"
"85",100,0.2,0.08,0.3,273.113274506662,TRUE,"Longtree"
"86",100,0.2,0.08,0.3,132.749052695558,FALSE,"Longtree"
"87",100,0.2,0.08,0.5,79.00184510353,TRUE,"Longtree"
"88",100,0.2,0.08,0.5,53.5958084695277,FALSE,"Longtree"
"89",100,0.2,0.08,0.7,58.3542917603471,TRUE,"Longtree"
"90",100,0.2,0.08,0.7,57.3710925983802,FALSE,"Longtree"
"91",100,0.2,0.2,0.3,273.113274506662,TRUE,"Longtree"
"92",100,0.2,0.2,0.3,132.749052695558,FALSE,"Longtree"
"93",100,0.2,0.2,0.5,79.00184510353,TRUE,"Longtree"
"94",100,0.2,0.2,0.5,53.5958084695277,FALSE,"Longtree"
"95",100,0.2,0.2,0.7,58.3542917603471,TRUE,"Longtree"
"96",100,0.2,0.2,0.7,57.3710925983802,FALSE,"Longtree"
"97",100,0.3,0.02,0.3,273.113274506662,TRUE,"Longtree"
"98",100,0.3,0.02,0.3,132.749052695558,FALSE,"Longtree"
"99",100,0.3,0.02,0.5,273.113274506662,TRUE,"Longtree"
"100",100,0.3,0.02,0.5,132.749052695558,FALSE,"Longtree"
"101",100,0.3,0.02,0.7,79.00184510353,TRUE,"Longtree"
"102",100,0.3,0.02,0.7,53.5958084695277,FALSE,"Longtree"
"103",100,0.3,0.04,0.3,79.00184510353,TRUE,"Longtree"
"104",100,0.3,0.04,0.3,53.5958084695277,FALSE,"Longtree"
"105",100,0.3,0.04,0.5,57.4757773218434,TRUE,"Longtree"
"106",100,0.3,0.04,0.5,51.2119393749491,FALSE,"Longtree"
"107",100,0.3,0.04,0.7,57.4757773218434,TRUE,"Longtree"
"108",100,0.3,0.04,0.7,58.7618890352884,FALSE,"Longtree"
"109",100,0.3,0.08,0.3,79.00184510353,TRUE,"Longtree"
"110",100,0.3,0.08,0.3,53.5958084695277,FALSE,"Longtree"
"111",100,0.3,0.08,0.5,57.4757773218434,TRUE,"Longtree"
"112",100,0.3,0.08,0.5,51.2119393749491,FALSE,"Longtree"
"113",100,0.3,0.08,0.7,57.4757773218434,TRUE,"Longtree"
"114",100,0.3,0.08,0.7,58.7618890352884,FALSE,"Longtree"
"115",100,0.3,0.2,0.3,79.00184510353,TRUE,"Longtree"
"116",100,0.3,0.2,0.3,53.5958084695277,FALSE,"Longtree"
"117",100,0.3,0.2,0.5,57.4757773218434,TRUE,"Longtree"
"118",100,0.3,0.2,0.5,51.2119393749491,FALSE,"Longtree"
"119",100,0.3,0.2,0.7,57.4757773218434,TRUE,"Longtree"
"120",100,0.3,0.2,0.7,58.7618890352884,FALSE,"Longtree"
"121",200,0.01,0.02,0.3,102.924604876978,TRUE,"Longtree"
"122",200,0.01,0.02,0.3,127.826832147095,FALSE,"Longtree"
"123",200,0.01,0.02,0.5,102.924604876978,TRUE,"Longtree"
"124",200,0.01,0.02,0.5,59.7324340238515,FALSE,"Longtree"
"125",200,0.01,0.02,0.7,81.1318254974656,TRUE,"Longtree"
"126",200,0.01,0.02,0.7,56.1034305507559,FALSE,"Longtree"
"127",200,0.01,0.04,0.3,102.924604876978,TRUE,"Longtree"
"128",200,0.01,0.04,0.3,59.7324340238515,FALSE,"Longtree"
"129",200,0.01,0.04,0.5,81.1318254974656,TRUE,"Longtree"
"130",200,0.01,0.04,0.5,56.1034305507559,FALSE,"Longtree"
"131",200,0.01,0.04,0.7,41.1748748079679,TRUE,"Longtree"
"132",200,0.01,0.04,0.7,40.8053017357469,FALSE,"Longtree"
"133",200,0.01,0.08,0.3,102.924604876978,TRUE,"Longtree"
"134",200,0.01,0.08,0.3,59.7324340238515,FALSE,"Longtree"
"135",200,0.01,0.08,0.5,81.1318254974656,TRUE,"Longtree"
"136",200,0.01,0.08,0.5,56.1034305507559,FALSE,"Longtree"
"137",200,0.01,0.08,0.7,41.1748748079679,TRUE,"Longtree"
"138",200,0.01,0.08,0.7,40.8053017357469,FALSE,"Longtree"
"139",200,0.01,0.2,0.3,102.924604876978,TRUE,"Longtree"
"140",200,0.01,0.2,0.3,59.7324340238515,FALSE,"Longtree"
"141",200,0.01,0.2,0.5,81.1318254974656,TRUE,"Longtree"
"142",200,0.01,0.2,0.5,56.1034305507559,FALSE,"Longtree"
"143",200,0.01,0.2,0.7,41.1748748079679,TRUE,"Longtree"
"144",200,0.01,0.2,0.7,40.8053017357469,FALSE,"Longtree"
"145",200,0.05,0.02,0.3,102.924604876978,TRUE,"Longtree"
"146",200,0.05,0.02,0.3,127.826832147095,FALSE,"Longtree"
"147",200,0.05,0.02,0.5,102.924604876978,TRUE,"Longtree"
"148",200,0.05,0.02,0.5,59.7324340238515,FALSE,"Longtree"
"149",200,0.05,0.02,0.7,81.1318254974656,TRUE,"Longtree"
"150",200,0.05,0.02,0.7,54.4877231134249,FALSE,"Longtree"
"151",200,0.05,0.04,0.3,102.924604876978,TRUE,"Longtree"
"152",200,0.05,0.04,0.3,56.476326169398,FALSE,"Longtree"
"153",200,0.05,0.04,0.5,81.1318254974656,TRUE,"Longtree"
"154",200,0.05,0.04,0.5,54.4877231134249,FALSE,"Longtree"
"155",200,0.05,0.04,0.7,41.1748748079679,TRUE,"Longtree"
"156",200,0.05,0.04,0.7,40.8053017357469,FALSE,"Longtree"
"157",200,0.05,0.08,0.3,102.924604876978,TRUE,"Longtree"
