"","model","n","MSE"
"1","Random Forest",10,274.913753959976
"2","Random Forest",20,213.514203808696
"3","Random Forest",40,175.998978189127
"4","Random Forest",60,139.169182480621
"5","Random Forest",80,129.616943581697
"6","Random Forest",100,113.844001534458
"7","Random Forest",200,94.7462113983415
"8","Random Forest",300,77.8152011999777
"9","Random Forest",500,69.0099178135458
"10","REEM Tree",10,330.675221480183
"11","REEM Tree",20,329.579018314001
"12","REEM Tree",40,232.091127663623
"13","REEM Tree",60,204.69912733048
"14","REEM Tree",80,190.151164858418
"15","REEM Tree",100,128.791632522964
"16","REEM Tree",200,123.13849965973
"17","REEM Tree",300,114.074280126756
"18","REEM Tree",500,99.7348446971208
"19","Bagging REEM Trees",10,176.054904214394
"20","Bagging REEM Trees",20,179.433105557634
"21","Bagging REEM Trees",40,131.41626775251
"22","Bagging REEM Trees",60,119.175716597465
"23","Bagging REEM Trees",80,105.516464371405
"24","Bagging REEM Trees",100,86.1742636853421
"25","Bagging REEM Trees",200,70.1613353476197
"26","Bagging REEM Trees",300,63.4783960750395
"27","Bagging REEM Trees",500,57.3579860256837
