"","model","n","MSE"
"1","Random Forest",30,198.832103277994
"2","Random Forest",50,162.701234437771
"3","Random Forest",70,126.695294235471
"4","Random Forest",150,93.2360374179001
"5","Random Forest",400,74.1736630867856
"6","Random Forest",1000,56.9257400394066
"7","REEM Tree",30,244.231930473592
"8","REEM Tree",50,231.71484879467
"9","REEM Tree",70,156.884639168433
"10","REEM Tree",150,119.54641177686
"11","REEM Tree",400,103.806968239516
"12","REEM Tree",1000,79.0150986892055
"13","Bagging REEM Trees",30,175.711652258415
"14","Bagging REEM Trees",50,149.175551453035
"15","Bagging REEM Trees",70,104.248648163606
"16","Bagging REEM Trees",150,75.9018700682345
"17","Bagging REEM Trees",400,67.2466978950996
"18","Bagging REEM Trees",1000,53.0187733403367
"19","Random Forest",10,274.913753959976
"20","Random Forest",20,213.514203808696
"21","Random Forest",40,175.998978189127
"22","Random Forest",60,139.169182480621
"23","Random Forest",80,129.616943581697
"24","Random Forest",100,113.844001534458
"25","Random Forest",200,94.7462113983415
"26","Random Forest",300,77.8152011999777
"27","Random Forest",500,69.0099178135458
"28","REEM Tree",10,330.675221480183
"29","REEM Tree",20,329.579018314001
"30","REEM Tree",40,232.091127663623
"31","REEM Tree",60,204.69912733048
"32","REEM Tree",80,190.151164858418
"33","REEM Tree",100,128.791632522964
"34","REEM Tree",200,123.13849965973
"35","REEM Tree",300,114.074280126756
"36","REEM Tree",500,99.7348446971208
"37","Bagging REEM Trees",10,176.054904214394
"38","Bagging REEM Trees",20,179.433105557634
"39","Bagging REEM Trees",40,131.41626775251
"40","Bagging REEM Trees",60,119.175716597465
"41","Bagging REEM Trees",80,105.516464371405
"42","Bagging REEM Trees",100,86.1742636853421
"43","Bagging REEM Trees",200,70.1613353476197
"44","Bagging REEM Trees",300,63.4783960750395
"45","Bagging REEM Trees",500,57.3579860256837
